count;year;name
11;2014;Amicie
18;2014;Anaëlle
8;2014;Ange
54;2014;Anouk
33;2014;Anton
14;2014;Athénaïs
23;2014;Aurélien
8;2014;Carla
17;2014;Cléo
20;2014;Dina
22;2014;Djibril
6;2014;Eléna
6;2014;Elian
12;2014;Eloi
7;2014;Elvire
7;2014;Florent
16;2014;Gaël
51;2014;Garance
139;2014;Gaspard
5;2014;Harold
5;2014;Hélie
6;2014;Imad
73;2014;Ismaël
21;2014;Ivan
22;2014;Iyad
7;2014;Jayson
24;2014;Jenna
163;2014;Joseph
8;2014;Joyce
6;2014;Kadidja
6;2014;Kimi
5;2014;Lehna
50;2014;Lila
47;2014;Maëlys
14;2014;Maïmouna
25;2014;Maïssa
24;2014;Mathys
10;2014;Mayeul
17;2014;Mayssa
8;2014;Miya
6;2014;Mory
6;2014;Naëlle
11;2014;Neïla
102;2014;Nina
27;2014;Noa
31;2014;Noham
7;2014;Oskar
6;2014;Patricia
13;2014;Philomène
7;2014;Rokia
12;2014;Sana
7;2014;Shana
30;2014;Stanislas
10;2014;Viktor
